"Envio";"Sent";"Open";"Clicks";"Fecha"
"01/03 - Cupón Finde XXL";54929;"8344";"283";"1/3/2025"
"04/03 - Ultimo Día Cupón";54983;"8433";"337";"4/3/2025"
"06/03 - Los más vendidos de 2025";55024;"8151";"326";"6/3/2025"
"08/03 - Nueva Temporada";54889;"8596";"348";"8/3/2025"
"11/03 - Beneficios exclusivos | 3 y 6 cuotas - 10% off transferencia - envío gratis +$160.000";54924;"7970";"329";"11/3/2025"
"12/03 - Elegi tu outfit preferido";54944;"8448";"357";"12/3/2025"
"14/03 - NEW IN";16072;"5842";"290";"14/3/2025"
"Copia de '12/03 - Elegi tu outfit preferido'";16072;"6200";"274";"16/3/2025"
"17/03 - Glam Days 1";70699;"16227";"490";"17/3/2025"
"18/03 - Glam Days 2";16093;"5863";"234";"18/3/2025"
"19/03 - Glam Days 3 - 18hs";16073;"5834";"138";"19/3/2025"
"19/03 - Glam Days 3 - 9hs";16088;"5774";"197";"19/3/2025"
"20/03 - Glam Days 4 - extendemos";16075;"6079";"224";"20/3/2025"
"22/03 - Glam Days 5";29075;"14838";"231";"22/3/2025"
"24/03 - Cupon post Glam Days";28409;"12319";"248";"24/3/2025"
"26/03 - NEW IN";16113;"2924";"199";"26/3/2025"